Team,"Historic Score 

as of 2013/14","Historic score
Feat Scale
as of 2013/14","Average Odds
HomeWin 2014/15",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2014/15","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic","WINS
median Odds","SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,53,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,"-0,822","-0,825","-0,812","-0,684",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,125,"1,21","2,85","2,20","2,52","0,53","2,37",,,,,"3,12","1,360","3,19","4,19","-1,00","4,19","0,89","16,00"
Bayern Munich,592,"2,00","1,19","1,17","1,18","0,82","1,57",,,,,"-1,71","-1,000","-1,66","3,34","0,00","-0,66","0,00","12,00"
Bielefeld,233,"1,39","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,289,"1,49","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,52,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,159,"1,27","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,550,"1,93","1,52","1,36","1,44","0,53","1,94",,,,,"-4,62","-1,000","-4,55","-3,55","0,00","-3,55","-1,00","16,00"
Duisburg,92,"1,16","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,374,"1,63","3,33","2,30","2,82","0,53","2,11",,,,,"5,63","5,630","5,58","9,58","-1,00","7,58","-1,00","13,00"
FC Koln,257,"1,43","3,17","2,40","2,78","0,24","2,26",,,,,"-3,88","1,125","-3,85","0,15","-1,00","-1,85","-1,00","13,00"
Fortuna Dusseldorf,53,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,293,"1,49","3,17","2,71","2,94","0,29","2,22",,,,,"0,45","0,450","0,53","0,53","0,00","0,53","0,00","17,00"
Greuther Furth,52,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hamburg,520,"1,88","3,22","2,37","2,80","0,35","1,98",,,,,"-2,09","-2,005","-2,07","0,93","-2,00","0,93","0,92","14,00"
Hannover,490,"1,83","3,27","2,30","2,79","0,35","1,98",,,,,"-5,92","-3,923","-5,855","-1,855","0,00","-3,855","-2,00","13,00"
Hertha,424,"1,72","3,64","2,50","3,07","0,35","2,06",,,,,"0,99","2,995","0,93","5,93","-1,00","3,93","0,00","12,00"
Hoffenheim,255,"1,43","2,34","1,99","2,17","0,53","2,20",,,,,"-1,79","-3,690","-1,7","1,3","0,00","-0,7","-1,00","14,00"
Ingolstadt,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Kaiserslautern,238,"1,40","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,92,"1,16","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,544,"1,92","1,62","1,48","1,55","0,59","1,82",,,,,"-1,45","-1,450","-1,375","3,625","0,00","-1,375","-1,00","12,00"
Mainz,343,"1,58","3,24","2,38","2,81","0,35","2,14",,,,,"-0,26","3,740","-0,2","0,8","-1,00","0,8","1,38","16,00"
Mgladbach,443,"1,75","2,24","1,75","2,00","0,71","1,89",,,,,"6,52","6,385","6,56","11,56","-1,00","8,56","-2,00","12,00"
Munich 1860,85,"1,14","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,408,"1,69","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Paderborn,20,"1,03","4,29","3,00","3,65","0,24","2,74",,,,,"-5,84","-1,835","-5,88","-3,88","-1,00","-3,88","0,00","15,00"
RB Leipzig,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Schalke 04,553,"1,93","2,43","1,95","2,19","0,59","1,85",,,,,"5,51","7,770","5,4","7,4","-1,00","6,4","-1,00","15,00"
St Pauli,52,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,531,"1,90","3,19","2,25","2,72","0,29","2,00",,,,,"-6,62","-7,355","-6,55","-3,55","-1,00","-4,55","-1,00","14,00"
Union Berlin,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Werder Bremen,534,"1,90","3,38","2,63","3,00","0,47","1,96",,,,,"7,04","7,035","7,17","8,17","-1,00","8,17","0,00","16,00"
Wolfsburg,502,"1,85","1,97","1,62","1,79","0,76","1,80",,,,,"10,25","10,205","10,18","14,18","5,17","11,18","0,21","13,00"
Heidenheim,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,,,,,,,,,"5,34","24,44","5,85","58,85","-6,83","31,85","-7,61","253,00"