,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Inter,Inter,Juventus,Inter,Inter,Inter,Inter,Inter,Milan,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Juventus,Inter,Milan,Napoli
2,Milan,Milan,Milan,Roma,Roma,Roma,Juventus,Roma,Inter,Milan,Napoli,Roma,Roma,Napoli,Roma,Napoli,Napoli,Inter,Milan,Inter,Lazio
3,Napoli,Napoli,Inter,Milan,Lazio,Juventus,Milan,Milan,Napoli,Udinese,Milan,Napoli,Lazio,Roma,Napoli,Roma,Atalanta,Atalanta,Atalanta,Napoli,Inter
4,Juventus,Juventus,Udinese,Chievo,Milan,Fiorentina,Fiorentina,Sampdoria,Udinese,Lazio,Fiorentina,Fiorentina,Fiorentina,Inter,Atalanta,Inter,Inter,Lazio,Juventus,Juventus,Milan
5,Fiorentina,Fiorentina,Sampdoria,Palermo,Palermo,Milan,Genoa,Palermo,Lazio,Napoli,Udinese,Inter,Napoli,Fiorentina,Lazio,Lazio,Milan,Roma,Napoli,Lazio,Atalanta
6,Atalanta,Atalanta,Palermo,Livorno,Fiorentina,Sampdoria,Roma,Napoli,Roma,Inter,Roma,Parma,Genoa,Sassuolo,Milan,Milan,Roma,Milan,Lazio,Roma,Roma
7,Lecce,Lecce,Messina,Parma,Empoli,Udinese,Udinese,Juventus,Juventus,Roma,Lazio,Torino,Sampdoria,Milan,Inter,Atalanta,Torino,Napoli,Roma,Fiorentina,Juventus
8,Bologna,Bologna,Roma,Empoli,Atalanta,Napoli,Palermo,Parma,Palermo,Parma,Catania,Milan,Inter,Lazio,Fiorentina,Fiorentina,Lazio,Sassuolo,Sassuolo,Atalanta,Fiorentina
9,Frosinone,Frosinone,Livorno,Fiorentina,Sampdoria,Atalanta,Cagliari,Genoa,Fiorentina,Bologna,Inter,Lazio,Torino,Chievo,Torino,Torino,Sampdoria,Hellas,Sampdoria,Hellas,Bologna
10,Torino,Torino,Lazio,Ascoli,Udinese,Genoa,Lazio,Bari,Genoa,Chievo,Parma,Hellas,Milan,Empoli,Sampdoria,Sampdoria,Bologna,Fiorentina,Hellas,Torino,Torino
11,Sassuolo,Sassuolo,Lecce,Udinese,Livorno,Palermo,Atalanta,Fiorentina,Chievo,Catania,Cagliari,Atalanta,Palermo,Genoa,Cagliari,Sassuolo,Sassuolo,Parma,Genoa,Sassuolo,Monza
12,Monza,Monza,Cagliari,Reggina,Parma,Lazio,Napoli,Lazio,Parma,Atalanta,Chievo,Sampdoria,Sassuolo,Torino,Sassuolo,Genoa,Udinese,Bologna,Bologna,Udinese,Udinese
13,Roma,Roma,Reggina,Sampdoria,Catania,Siena,Sampdoria,Catania,Catania,Fiorentina,Bologna,Udinese,Hellas,Atalanta,Udinese,Chievo,SPAL,Udinese,Fiorentina,Bologna,Sassuolo
14,Genoa,Genoa,Siena,Cagliari,Reggina,Cagliari,Siena,Chievo,Cagliari,Siena,Sampdoria,Genoa,Chievo,Bologna,Chievo,Udinese,Parma,Cagliari,Udinese,Empoli,Empoli
15,Hellas,Hellas,Chievo,Siena,Siena,Torino,Catania,Udinese,Cesena,Cagliari,Atalanta,Cagliari,Empoli,Sampdoria,Bologna,Bologna,Cagliari,Sampdoria,Spezia,Sampdoria,Salernitana
16,Lazio,Lazio,Fiorentina,Lazio,Torino,Reggina,Chievo,Cagliari,Bologna,Palermo,Torino,Chievo,Udinese,Palermo,Genoa,Cagliari,Fiorentina,Torino,Cagliari,Spezia,Lecce
17,Udinese,Udinese,Bologna,Messina,Cagliari,Catania,Bologna,Bologna,Lecce,Genoa,Genoa,Sassuolo,Atalanta,Udinese,Crotone,SPAL,Genoa,Genoa,Torino,Salernitana,Spezia
18,Salernitana,Salernitana,Parma,Lecce,Chievo,Empoli,Torino,Atalanta,Sampdoria,Lecce,Palermo,Catania,Cagliari,Carpi,Empoli,Crotone,Empoli,Lecce,Benevento,Cagliari,Hellas
19,Empoli,Empoli,Brescia,Treviso,Ascoli,Parma,Reggina,Siena,Brescia,Novara,Siena,Bologna,Cesena,Frosinone,Palermo,Hellas,Frosinone,Brescia,Crotone,Genoa,Cremonese
20,Cagliari,Cagliari,Atalanta,Juventus,Messina,Livorno,Lecce,Livorno,Bari,Cesena,Pescara,Livorno,Parma,Hellas,Pescara,Benevento,Chievo,SPAL,Parma,Venedig,Sampdoria