,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Real Madrid,Valencia,Barcelona,Barcelona,Real Madrid,Real Madrid,Barcelona,Barcelona,Barcelona,Real Madrid,Barcelona,Ath Madrid,Barcelona,Barcelona,Real Madrid,Barcelona,Barcelona,Real Madrid,Ath Madrid,Real Madrid,Barcelona
2,Sociedad,Barcelona,Real Madrid,Real Madrid,Barcelona,Villarreal,Real Madrid,Real Madrid,Real Madrid,Barcelona,Real Madrid,Barcelona,Real Madrid,Real Madrid,Barcelona,Ath Madrid,Ath Madrid,Barcelona,Real Madrid,Barcelona,Real Madrid
3,La Coruna,La Coruna,Villarreal,Valencia,FC Sevilla,Barcelona,FC Sevilla,Valencia,Valencia,Valencia,Ath Madrid,Real Madrid,Ath Madrid,Ath Madrid,Ath Madrid,Real Madrid,Real Madrid,Ath Madrid,Barcelona,Ath Madrid,Ath Madrid
4,Celta,Real Madrid,Betis,Osasuna,Valencia,Ath Madrid,Ath Madrid,FC Sevilla,Villarreal,Malaga,Sociedad,Ath Bilbao,Valencia,Villarreal,FC Sevilla,Valencia,Valencia,FC Sevilla,FC Sevilla,FC Sevilla,Sociedad
5,Valencia,Ath Bilbao,Espanol,FC Sevilla,Villarreal,FC Sevilla,Villarreal,Mallorca,FC Sevilla,Ath Madrid,Valencia,FC Sevilla,FC Sevilla,Ath Bilbao,Villarreal,Villarreal,Getafe,Villarreal,Sociedad,Betis,Villarreal
6,Barcelona,FC Sevilla,FC Sevilla,Celta,Saragossa,Santander,Valencia,Getafe,Ath Bilbao,Levante,Malaga,Villarreal,Villarreal,Celta,Sociedad,Betis,FC Sevilla,Sociedad,Betis,Sociedad,Betis
7,Ath Bilbao,Ath Madrid,Valencia,Villarreal,Ath Madrid,Mallorca,La Coruna,Villarreal,Ath Madrid,Osasuna,Betis,Sociedad,Ath Bilbao,FC Sevilla,Ath Bilbao,FC Sevilla,Espanol,Granada,Villarreal,Villarreal,Osasuna
8,Betis,Villarreal,La Coruna,La Coruna,Huelva,Almeria,Malaga,Ath Bilbao,Espanol,Mallorca,Vallecano,Valencia,Celta,Malaga,Espanol,Getafe,Ath Bilbao,Getafe,Celta,Ath Bilbao,Ath Bilbao
9,Mallorca,Betis,Ath Bilbao,Getafe,Getafe,La Coruna,Mallorca,Ath Madrid,Osasuna,FC Sevilla,FC Sevilla,Celta,Malaga,Sociedad,Alaves,Eibar,Sociedad,Valencia,Granada,Valencia,Mallorca
10,FC Sevilla,Malaga,Malaga,Ath Madrid,Santander,Valencia,Espanol,La Coruna,Gijon,Ath Bilbao,Getafe,Levante,Espanol,Betis,Eibar,Girona,Betis,Osasuna,Ath Bilbao,Osasuna,Girona
11,Osasuna,Mallorca,Saragossa,Saragossa,Espanol,Ath Bilbao,Almeria,Espanol,Malaga,Getafe,Levante,Malaga,Vallecano,Las Palmas,Malaga,Espanol,Alaves,Ath Bilbao,Osasuna,Celta,Vallecano
12,Ath Madrid,Saragossa,Ath Madrid,Ath Bilbao,Mallorca,Espanol,Santander,Osasuna,Santander,Sociedad,Ath Bilbao,Vallecano,Sociedad,Valencia,Valencia,Sociedad,Eibar,Levante,Cadiz,Vallecano,FC Sevilla
13,Malaga,Osasuna,Getafe,Mallorca,La Coruna,Betis,Ath Bilbao,Almeria,Saragossa,Betis,Espanol,Getafe,Elche,Espanol,Celta,Celta,Leganes,Valladolid,Valencia,Elche,Celta
14,Valladolid,Albacete,Sociedad,Betis,Osasuna,Getafe,Gijon,Saragossa,Levante,Espanol,Valladolid,Espanol,Levante,Eibar,Las Palmas,Alaves,Villarreal,Eibar,Levante,Espanol,Cadiz
15,Villarreal,Sociedad,Osasuna,Espanol,Levante,Valladolid,Valladolid,Gijon,Sociedad,Vallecano,Granada,Granada,Getafe,La Coruna,Betis,Levante,Levante,Betis,Getafe,Getafe,Getafe
16,Santander,Espanol,Santander,Sociedad,Betis,Huelva,Osasuna,Santander,Getafe,Saragossa,Osasuna,Elche,La Coruna,Granada,La Coruna,Ath Bilbao,Valladolid,Alaves,Alaves,Mallorca,Valencia
17,Espanol,Santander,Mallorca,Santander,Ath Bilbao,Osasuna,Getafe,Malaga,Mallorca,Granada,Celta,Almeria,Granada,Gijon,Leganes,Leganes,Celta,Celta,Elche,Cadiz,Almeria
18,Huelva,Valladolid,Levante,Alaves,Celta,Saragossa,Betis,Teneriffa,La Coruna,Villarreal,Mallorca,Osasuna,Eibar,Vallecano,Gijon,La Coruna,Girona,Leganes,Huesca,Granada,Valladolid
19,Alaves,Celta,Numancia,Cadiz,Sociedad,Murcia,Numancia,Valladolid,Alicante,Gijon,La Coruna,Valladolid,Almeria,Getafe,Osasuna,Las Palmas,Huesca,Mallorca,Valladolid,Levante,Espanol
20,Vallecano,Murcia,Albacete,Malaga,Tarragona,Levante,Huelva,Xerez,Almeria,Santander,Saragossa,Betis,Cordoba,Levante,Granada,Malaga,Vallecano,Espanol,Eibar,Alaves,Elche