Teams,History to 2011,Rank 2011,History to 2012,Rank 2012,History to 2013,Rank 2013,History to 2014,Rank 2014,History to 2015,Rank 2015,History to 2016,Rank 2016,History to 2017,Rank 2017,History to 2018,Rank 2018,History to 2019,Rank 2019,History to 2020,Rank 2020,History to 2021,Rank 2021,History to 2022,Rank 2022
Aachen,50,22,51,22,52,22,53,22,54,22,55,22,56,22,57,22,58,22,59,22,60,22,61,22
Augsburg,9,14,46,15,82,8,125,5,171,12,210,13,248,12,287,15,323,15,359,13,397,14,434,15
Bayern Munich,443,2,492,1,542,1,592,1,642,1,692,1,742,1,792,1,842,1,892,1,942,1,992,1
Bielefeld,230,22,231,22,232,22,233,22,234,22,235,22,236,22,237,22,238,22,247,15,283,17,317,22
Bochum,286,22,287,22,288,22,289,22,290,22,291,22,292,22,293,22,294,22,295,22,304,13,342,14
Braunschweig,9,22,10,22,19,18,52,22,53,22,54,22,55,22,56,22,57,22,58,22,59,22,60,22
Cottbus,156,22,157,22,158,22,159,22,160,22,161,22,162,22,163,22,164,22,165,22,166,22,167,22
Darmstadt,9,22,10,22,11,22,12,22,21,14,58,18,91,22,92,22,93,22,94,22,95,22,96,22
Dortmund,402,1,452,2,501,2,550,7,594,2,643,3,691,4,738,2,787,2,836,3,884,2,933,2
Duisburg,89,22,90,22,91,22,92,22,93,22,94,22,95,22,96,22,97,22,98,22,99,22,100,22
Ein Frankfurt,282,22,291,6,336,13,374,9,416,16,451,11,491,8,534,7,578,9,620,5,666,11,706,7
FC Koln,213,17,247,22,248,22,257,12,296,9,338,5,384,18,417,22,426,14,463,16,498,7,542,11
Fortuna Dusseldorf,9,22,18,17,52,22,53,22,54,22,55,22,56,22,65,10,106,17,140,22,141,22,142,22
Freiburg,171,12,210,5,256,14,293,17,327,22,336,7,380,15,416,13,454,8,497,10,538,6,583,5
Greuther Furth,9,22,18,18,51,22,52,22,53,22,54,22,55,22,56,22,57,22,58,22,67,18,100,22
Hamburg,405,15,441,7,485,16,520,16,555,10,596,14,633,17,667,22,668,22,669,22,670,22,671,22
Hannover,363,7,407,9,449,10,490,13,528,18,561,22,570,13,608,17,642,22,643,22,644,22,645,22
Hansa Rostock,161,22,162,22,163,22,164,22,165,22,166,22,167,22,168,22,169,22,170,22,171,22,172,22
Hertha,340,16,375,22,384,11,424,15,460,7,504,6,549,10,590,11,630,10,671,14,708,16,743,18
Hoffenheim,138,11,178,16,213,9,255,8,298,15,334,4,381,3,429,9,471,6,516,11,556,9,598,12
Ingolstadt,9,22,10,22,11,22,12,22,21,11,61,17,95,22,96,22,97,22,98,22,99,22,100,22
Kaiserslautern,203,18,236,22,237,22,238,22,239,22,240,22,241,22,242,22,243,22,244,22,245,22,246,22
Karlsruhe,89,22,90,22,91,22,92,22,93,22,94,22,95,22,96,22,97,22,98,22,99,22,100,22
Leverkusen,403,5,449,3,497,4,544,4,591,3,639,12,678,5,724,4,771,5,817,6,862,3,910,6
Mainz,223,13,261,13,299,7,343,11,383,6,428,15,464,14,501,12,540,13,578,12,617,8,660,9
Mgladbach,308,4,355,8,398,6,443,3,491,4,538,9,580,9,622,5,668,4,715,8,758,10,799,10
Munich 1860,82,22,83,22,84,22,85,22,86,22,87,22,88,22,89,22,90,22,91,22,92,22,93,22
Nurnberg,292,10,333,10,374,17,408,22,409,22,410,22,411,22,420,18,453,22,454,22,455,22,456,22
Paderborn,9,22,10,22,11,22,20,18,53,22,54,22,55,22,56,22,65,18,98,22,99,22,100,22
RB Leipzig,9,22,10,22,11,22,12,22,13,22,22,2,71,6,116,3,164,3,212,2,261,4,308,3
Schalke 04,410,3,458,4,505,3,553,6,598,5,644,10,685,2,734,14,771,12,810,18,843,22,852,17
St Pauli,49,22,50,22,51,22,52,22,53,22,54,22,55,22,56,22,57,22,58,22,59,22,60,22
Stuttgart,411,6,456,12,495,15,531,14,568,17,602,22,611,7,655,16,690,22,699,9,741,15,777,16
Union Berlin,9,22,10,22,11,22,12,22,13,22,14,22,15,22,16,22,25,11,65,7,109,5,155,4
Werder Bremen,416,9,458,14,495,12,534,10,575,13,613,8,656,11,696,8,739,16,774,17,808,22,817,13
Wolfsburg,373,8,416,11,456,5,502,2,551,8,594,16,629,16,664,6,709,7,753,4,800,12,839,8
Heidenheim,9,22,10,22,11,22,12,22,13,22,14,22,15,22,16,22,17,22,18,22,19,22,20,22