,,Pl.,,,Team,Sp.,ss-u-n,U,N,Tore,Diff.,Punkte,Won,Draw,lost
1,Dortmund,1,,,Dortmund (M)Borussia Dortmund (M),34,25-6-0325,6,3,80:25:00,55,81,25,6,3
2,Bayern Munich,2,,,BayernBayern München,34,23-4-0723,4,7,77:22:00,55,73,23,4,7
3,Schalke 04,3,,,Schalke (P)FC Schalke 04 (P),34,20-4-1020,4,10,74:44:00,30,64,20,4,10
4,Mgladbach,4,,,M'gladbachBor. Mönchengladbach,34,17-9-0817,9,8,49:24:00,25,60,17,9,8
5,Leverkusen,5,,,LeverkusenBayer 04 Leverkusen,34,15-9-1015,9,10,52:44:00,8,54,15,9,10
6,Stuttgart,6,,,StuttgartVfB Stuttgart,34,15-8-1115,8,11,63:46:00,17,53,15,8,11
7,Hannover,7,,,HannoverHannover 96,34,12-12-1012,12,10,41:45:00,-4,48,12,12,10
8,Wolfsburg,8,,,WolfsburgVfL Wolfsburg,34,13-5-1613,5,16,48:00:00,-13,44,13,5,16
9,Werder Bremen,9,,,BremenWerder Bremen,34,11-9-1411,9,14,49:58:00,-9,42,11,9,14
10,Nurnberg,10,,,Nürnberg1. FC Nürnberg,34,12-6-1612,6,16,38:49:00,-11,42,12,6,16
11,Hoffenheim,11,,,HoffenheimTSG Hoffenheim,34,10-11-1310,11,13,41:47:00,-6,41,10,11,13
12,Freiburg,12,,,FreiburgSC Freiburg,34,10-10-1410,10,14,46:01:00,-16,40,10,10,14
13,Mainz,13,,,Mainz1. FSV Mainz 05,34,9-12-0139,12,13,47:51:00,-4,39,9,12,13
14,Augsburg,14,,,Augsburg (N)FC Augsburg (N),34,8-14-128,14,12,36:49:00,-13,38,8,14,12
15,Hamburg,15,,,HSVHamburger SV,34,8-12-0148,12,14,35:57:00,-22,36,8,12,14
16,Hertha,16,,,Hertha (N)Hertha BSC (N),34,7-10-0177,10,17,39:04:00,-26,31,7,10,17
17,FC Koln,17,,,Köln1. FC Köln,34,8-6-0208,6,20,40:15:00,-36,30,8,6,20
18,Kaiserslautern,18,,,K'lautern1. FC Kaiserslautern,34,4-11-0194,11,19,24:54:00,-30,23,4,11,19